PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
LOC102723427-2	chr7	67837900	67838094	+	0	NA	Intergenic	Intergenic	-182256	NR_120514	102723427		NR_120514	ENSG00000225209	LOC102723427	-	uncharacterized LOC102723427	ncRNA
CCDC148-AS1	chr2	158214552	158214859	+	0	NA	intron (NR_038850, intron 4 of 4)	intron (NR_038850, intron 4 of 4)	48055	NR_038850	554201		NR_038850	ENSG00000227480	CCDC148-AS1	-	CCDC148 antisense RNA 1	ncRNA
PRICKLE1	chr12	42603294	42603524	+	0	NA	Intergenic	L4_C_Mam|LINE|RTE-X	-13663	NM_153026	144165		NM_153026	ENSG00000139174	PRICKLE1	EPM1B|RILP	prickle planar cell polarity protein 1	protein-coding
LOC101927550	chr7	99001350	99002079	+	0	NA	intron (NM_001375524, intron 67 of 72)	intron (NM_001375524, intron 67 of 72)	-11451	NR_110102	101927550		NR_110102		LOC101927550	-	uncharacterized LOC101927550	ncRNA
XACT	chrX	113959986	113960722	+	0	NA	Intergenic	Intergenic	-22136	NR_131204	105463123		NR_131204		XACT	-	X active specific transcript	ncRNA
LINC01477-2	chr18	40531017	40531572	+	0	NA	Intergenic	Intergenic	465008	NR_110791	101927900		NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
LINC00384	chr13	30158902	30159831	+	0	NA	Intergenic	Intergenic	-6292	NR_138041	102157400		NR_138041		LINC00384	-	long intergenic non-protein coding RNA 384	ncRNA
BTBD9-AS1	chr6	38477874	38478088	+	0	NA	intron (NM_001172418, intron 5 of 10)	MIRb|SINE|MIR	-3615	NR_144472	101929425		NR_144472	ENSG00000226533	BTBD9-AS1	-	BTBD9 antisense RNA 1	ncRNA
BRINP3	chr1	189654703	189655123	+	0	NA	Intergenic	Intergenic	821097	NM_001317188	339479		NM_199051	ENSG00000162670	BRINP3	DBCCR1L|DBCCR1L1|FAM5C	BMP/retinoic acid inducible neural specific 3	protein-coding
ARX-2	chrX	24943811	24944851	+	0	NA	intron (NR_165483, intron 35 of 35)	intron (NR_165483, intron 35 of 35)	71634	NM_139058	170302		NM_139058	ENSG00000004848	ARX	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	aristaless related homeobox	protein-coding
CILK1	chr6	53042280	53042733	+	0	NA	intron (NM_001375397, intron 1 of 13)	intron (NM_001375397, intron 1 of 13)	19318	NM_001375397	22858		NM_014920	ENSG00000112144	CILK1	ECO|EJM10|ICK|LCK2|MRK|hICK	ciliogenesis associated kinase 1	protein-coding
LOC101927822	chr8	134240877	134241433	+	0	NA	Intergenic	Intergenic	354659	NR_125424	101927822		NR_125424	ENSG00000253593	LOC101927822	-	uncharacterized LOC101927822	ncRNA
MSX2	chr5	174612589	174612939	+	0	NA	Intergenic	Intergenic	-111818	NM_001363626	4488		NM_002449	ENSG00000120149	MSX2	CRS2|FPP|HOX8|MSH|PFM|PFM1	msh homeobox 2	protein-coding
STRIT1	chr3	155282126	155283185	+	0	NA	Intergenic	L1PB|LINE|L1	11028	NM_001352129	100507537		NM_001352129	ENSG00000240045	STRIT1	DWORF	small transmembrane regulator of ion transport 1	protein-coding
LOC101927787	chr1	234657253	234657589	+	0	NA	intron (NR_125944, intron 3 of 3)	MIR3|SINE|MIR	11132	NR_125944	101927787		NR_125944	ENSG00000228044	LOC101927787	-	uncharacterized LOC101927787	ncRNA
CFAP20DC	chr3	59245529	59246602	+	0	NA	Intergenic	LTR90A|LTR|LTR	-196033	NR_147235	200844		NM_198463	ENSG00000163689	CFAP20DC	C3orf67	CFAP20 domain containing	protein-coding
MIR4454	chrX	93120510	93121169	+	0	NA	Intergenic	ERV24B_Prim-int|LTR|ERV1	-295936	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA
LOC102723427	chr7	68691579	68692086	+	0	NA	Intergenic	Intergenic	671579	NR_120514	102723427		NR_120514	ENSG00000225209	LOC102723427	-	uncharacterized LOC102723427	ncRNA
GJE1	chr6	141450952	141452010	+	0	NA	Intergenic	AluJr|SINE|Alu	-681678	NM_001358410	100126572		NM_001358410	ENSG00000203733	GJE1	CX23	gap junction protein epsilon 1	protein-coding
LOC100506869	chr12	58583651	58584084	+	0	NA	intron (NR_120452, intron 3 of 7)	MLT1E3-int|LTR|ERVL-MaLR	-7835	NR_126341	100506869		NR_126341	ENSG00000258231	LOC100506869	-	uncharacterized LOC100506869	ncRNA
DDHD1-DT	chr14	53236748	53237169	+	0	NA	Intergenic	Intergenic	83604	NR_110062	101927620		NR_110062	ENSG00000258731	DDHD1-DT	-	DDHD1 divergent transcript	ncRNA
MAOB	chrX	43821981	43822595	+	0	NA	intron (NM_000898, intron 3 of 14)	intron (NM_000898, intron 3 of 14)	60162	NM_000898	4129		NM_000898	ENSG00000069535	MAOB	-	monoamine oxidase B	protein-coding
LINC02299	chr14	96676308	96676782	+	0	NA	Intergenic	MLT1H|LTR|ERVL-MaLR	-64646	NR_146552	105370646		NR_146552	ENSG00000258979	LINC02299	-	long intergenic non-protein coding RNA 2299	ncRNA
LINC01309	chr13	103351220	103351703	+	0	NA	Intergenic	Intergenic	-73739	NR_126374	104326190		NR_126374		LINC01309	TCONS_l2_00007459	long intergenic non-protein coding RNA 1309	ncRNA
CCSER1	chr4	90317900	90318482	+	0	NA	intron (NM_207491, intron 3 of 7)	intron (NM_207491, intron 3 of 7)	83160	NM_207491	401145		NM_207491	ENSG00000184305	CCSER1	FAM190A	coiled-coil serine rich protein 1	protein-coding
ASMER1	chr21	14784317	14784712	+	0	NA	Intergenic	L1PA6|LINE|L1	134154	NR_146322	107987295		NR_146322		ASMER1	ASMER-1|LINC02246	adipocyte associated metabolic related lncRNA 1	ncRNA
CASC21-2	chr8	127253245	127254096	+	0	NA	intron (NR_117099, intron 1 of 3)	intron (NR_117099, intron 1 of 3)	9033	NR_117099	103021164		NR_117099		CASC21	CARLO2|CARLo-2|LINC01244	cancer susceptibility 21	ncRNA
LOC101928269	chr21	35974343	35975503	+	0	NA	intron (NR_110418, intron 4 of 5)	intron (NR_110418, intron 4 of 5)	29744	NR_110418	101928269		NR_110418		LOC101928269	-	uncharacterized LOC101928269	ncRNA
CNTN1	chr12	40733823	40734506	+	0	NA	intron (NM_001256063, intron 1 of 15)	intron (NM_001256063, intron 1 of 15)	41722	NM_001256063	1272		NM_001843	ENSG00000018236	CNTN1	CMYP12|F3|GP135|MYPCN	contactin 1	protein-coding
IPO8	chr12	30460828	30461500	+	0	NA	Intergenic	Charlie24|DNA|hAT-Charlie	216080	NM_001190995	10526		NM_006390	ENSG00000133704	IPO8	RANBP8|VISS	importin 8	protein-coding
LINC02426	chr12	82124927	82125193	+	0	NA	Intergenic	L1PREC2|LINE|L1	171341	NR_110089	101928449		NR_110089	ENSG00000257747	LINC02426	-	long intergenic non-protein coding RNA 2426	ncRNA
LINC00460-2	chr13	106356729	106357640	+	0	NA	Intergenic	Intergenic	-19380	NR_163477	728192		NR_034119	ENSG00000233532	LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
MIR6085	chr15	62412410	62413298	+	0	NA	Intergenic	Intergenic	69825	NR_106733	102464834		NR_106733	ENSG00000275451	MIR6085	hsa-mir-6085	microRNA 6085	ncRNA
LINC01538	chr18	64851742	64852290	+	0	NA	Intergenic	MLT2A2|LTR|ERVL	-591961	NR_033983	400654		NR_033983	ENSG00000266952	LINC01538	-	long intergenic non-protein coding RNA 1538	ncRNA
LINC00517	chr14	37889014	37889556	+	0	NA	Intergenic	MamRTE1|LINE|RTE-BovB	12839	NR_135286	400208		NR_135286	ENSG00000259091	LINC00517	C14orf26	long intergenic non-protein coding RNA 517	ncRNA
LINC00276	chr2	14513633	14514458	+	0	NA	Intergenic	L2b|LINE|L2	-113087	NR_103814	100499171		NR_103814	ENSG00000230448	LINC00276	NCRNA00276	long intergenic non-protein coding RNA 276	ncRNA
CFTR-AS1	chr7	117588558	117588745	+	0	NA	intron (NM_000492, intron 12 of 26)	MIRb|SINE|MIR	-23975	NR_149084	111082987		NR_149084	ENSG00000232661	CFTR-AS1	BGas	CFTR antisense RNA 1	ncRNA
SLC1A3	chr5	36502619	36503229	+	0	NA	Intergenic	Intergenic	-103431	NM_001289939	6507		NM_004172	ENSG00000079215	SLC1A3	EA6|EAAT1|GLAST|GLAST1	solute carrier family 1 member 3	protein-coding
C2CD5	chr12	22477264	22477714	+	0	NA	intron (NR_169598, intron 15 of 24)	intron (NR_169598, intron 15 of 24)	66708	NM_001286174	9847		NM_014802	ENSG00000111731	C2CD5	CDP138|KIAA0528	C2 calcium dependent domain containing 5	protein-coding
LRRC30	chr18	7301033	7301568	+	0	NA	Intergenic	L1MB7|LINE|L1	70196	NM_001105581	339291		NM_001105581	ENSG00000206422	LRRC30	-	leucine rich repeat containing 30	protein-coding
HDAC9	chr7	18384657	18384985	+	0	NA	intron (NM_001321896, intron 1 of 12)	intron (NM_001321896, intron 1 of 12)	94729	NM_001321896	9734		NM_014707	ENSG00000048052	HDAC9	ARCND4|HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
LINC00906	chr19	28864277	28864986	+	0	NA	Intergenic	Intergenic	-100500	NR_027318	148145		NR_027318	ENSG00000267339	LINC00906	-	long intergenic non-protein coding RNA 906	ncRNA
MIR548F3	chr5	110321144	110322074	+	0	NA	Intergenic	Intergenic	192306	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
COLEC10	chr8	118961493	118962269	+	0	NA	intron (NM_001324095, intron 1 of 7)	intron (NM_001324095, intron 1 of 7)	9618	NM_001324095	10584		NM_006438	ENSG00000184374	COLEC10	3MC3|CL-10|CL-34|CLL1	collectin subfamily member 10	protein-coding
LOC105370362	chr13	110815782	110816308	+	0	NA	intron (NR_158538, intron 1 of 1)	intron (NR_158538, intron 1 of 1)	2340	NR_158538	105370362		NR_158538		LOC105370362	-	uncharacterized LOC105370362	ncRNA
SPIC	chr12	101459820	101460107	+	0	NA	Intergenic	LTR33|LTR|ERVL	-15373	NM_152323	121599		NM_152323	ENSG00000166211	SPIC	SPI-C	Spi-C transcription factor	protein-coding
ARB2A	chr5	94241084	94241772	+	0	NA	intron (NM_001385712, intron 21 of 21)	intron (NM_001385712, intron 21 of 21)	-129729	NR_028080	83989		NM_032042	ENSG00000113391	ARB2A	C5orf21|FAM172A|Toupee	ARB2 cotranscriptional regulator A	protein-coding
LINC02330	chr14	87503679	87504149	+	0	NA	Intergenic	Intergenic	151380	NR_146551	105370611		NR_146551	ENSG00000258770	LINC02330	-	long intergenic non-protein coding RNA 2330	ncRNA
LINC01393	chr7	115135909	115136148	+	0	NA	intron (NR_126407, intron 2 of 4)	intron (NR_126407, intron 2 of 4)	57070	NR_120521	102724386		NR_120521	ENSG00000225535	LINC01393	-	long intergenic non-protein coding RNA 1393	ncRNA
NEDD1	chr12	97038392	97039496	+	0	NA	Intergenic	CR1_Mam|LINE|CR1	131478	NM_001135175	121441		NM_152905	ENSG00000139350	NEDD1	GCP-WD|TUBGCP7	NEDD1 gamma-tubulin ring complex targeting factor	protein-coding
C1GALT1	chr7	7176484	7177085	+	0	NA	Intergenic	Intergenic	-5760	NM_020156	56913		NM_020156	ENSG00000106392	C1GALT1	C1GALT|T-synthase	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	protein-coding
SCGN	chr6	25581992	25583319	+	0	NA	intron (NM_001173977, intron 31 of 36)	intron (NM_001173977, intron 31 of 36)	-69560	NM_006998	10590		NM_006998	ENSG00000079689	SCGN	CALBL|DJ501N12.8|SECRET|SEGN|setagin	secretagogin, EF-hand calcium binding protein	protein-coding
TXNDC2	chr18	9808415	9808695	+	0	NA	intron (NM_006868, intron 3 of 6)	intron (NM_006868, intron 3 of 6)	-77418	NM_032243	84203		NM_032243	ENSG00000168454	TXNDC2	SPTRX|SPTRX1	thioredoxin domain containing 2	protein-coding
CACNA1I	chr22	39719586	39720479	+	0	NA	Intergenic	Intergenic	149279	NM_001003406	8911		NM_021096	ENSG00000100346	CACNA1I	Cav3.3|NEDSIS|ca(v)3.3	calcium voltage-gated channel subunit alpha1 I	protein-coding
MACROD2	chr20	15220980	15221581	+	0	NA	intron (NM_001351664, intron 1 of 14)	intron (NM_001351664, intron 1 of 14)	24440	NM_001351664	140733		NM_080676	ENSG00000172264	MACROD2	C20orf133|C2orf133	mono-ADP ribosylhydrolase 2	protein-coding
TMEM181	chr6	158467824	158468834	+	0	NA	intron (NM_001007466, intron 6 of 12)	LTR22B|LTR|ERVK	-68311	NM_001376817	57583		NM_020823	ENSG00000146433	TMEM181	GPR178|KIAA1423	transmembrane protein 181	protein-coding
MIR5704-2	chr3	131971756	131972930	+	0	NA	intron (NM_153429, intron 2 of 16)	intron (NM_153429, intron 2 of 16)	13588	NR_049890	100847040		NR_049890	ENSG00000265859	MIR5704	-	microRNA 5704	ncRNA
MIR12113	chr4	11882103	11882407	+	0	NA	Intergenic	Intergenic	99077	NR_162127	113218507		NR_162127		MIR12113	-	microRNA 12113	ncRNA
LOC729291	chr12	28576815	28577632	+	0	NA	Intergenic	Intergenic	-386485	NR_148936	729291		NR_148936		LOC729291	-	uncharacterized LOC729291	ncRNA
PID1-2	chr2	229096551	229097151	+	0	NA	intron (NM_001330157, intron 1 of 1)	intron (NM_001330157, intron 1 of 1)	135241	NM_001330156	55022		NM_017933	ENSG00000153823	PID1	HMFN2073|NYGGF4|P-CLI1|PCLI1	phosphotyrosine interaction domain containing 1	protein-coding
TNFSF4	chr1	173269580	173270148	+	0	NA	intron (NR_037845, intron 2 of 2)	L2|LINE|L2	-62533	NM_003326	7292		NM_003326	ENSG00000117586	TNFSF4	CD134L|CD252|GP34|OX-40L|OX4OL|TNLG2B|TXGP1	TNF superfamily member 4	protein-coding
TXNDC16	chr14	52457645	52458622	+	0	NA	intron (NM_020784, intron 16 of 20)	Charlie29a|DNA|hAT-Charlie	94372	NM_020784	57544		NM_020784	ENSG00000087301	TXNDC16	ERp90|KIAA1344	thioredoxin domain containing 16	protein-coding
ITGB8-AS1	chr7	20442980	20443796	+	0	NA	Intergenic	Intergenic	-111626	NR_110120	101927811		NR_110119	ENSG00000271133	ITGB8-AS1	-	ITGB8 antisense RNA 1	ncRNA
TRPS1-2	chr8	115978171	115978537	+	0	NA	intron (NR_046215, intron 7 of 13)	AmnSINE1|SINE|5S-Deu-L2	-309379	NM_001282903	7227		NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
SYNDIG1	chr20	24681773	24682374	+	0	NA	Intergenic	Intergenic	212112	NR_147606	79953		NM_024893	ENSG00000101463	SYNDIG1	C20orf39|DSPC2|IFITMD5|TMEM90B	synapse differentiation inducing 1	protein-coding
LINC01288-3	chr8	34665211	34665715	+	0	NA	Intergenic	Intergenic	-118458	NR_125746	103689844		NR_125746		LINC01288	TCONS_00014671	long intergenic non-protein coding RNA 1288	ncRNA
EPHA3	chr3	90080924	90081517	+	0	NA	Intergenic	Intergenic	973599	NM_182644	2042		NM_005233	ENSG00000044524	EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4	EPH receptor A3	protein-coding
LARGE1	chr22	33812073	33812813	+	0	NA	intron (NM_001362953, intron 1 of 14)	intron (NM_001362953, intron 1 of 14)	60886	NM_001378626	9215		NM_004737	ENSG00000133424	LARGE1	LARGE|MDC1D|MDDGA6|MDDGB6	LARGE xylosyl- and glucuronyltransferase 1	protein-coding
FAR2	chr12	28787189	28787448	+	0	NA	Intergenic	MSTB1|LTR|ERVL-MaLR	-361960	NM_001271783	55711		NM_018099	ENSG00000064763	FAR2	HEL-S-81|MLSTD1|SDR10E2	fatty acyl-CoA reductase 2	protein-coding
CDKN2B	chr9	22147619	22148576	+	0	NA	Intergenic	Intergenic	-138784	NM_078487	1030		NM_004936	ENSG00000147883	CDKN2B	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b	cyclin dependent kinase inhibitor 2B	protein-coding
STARD4-AS1	chr5	111447691	111448585	+	0	NA	intron (NM_001744, intron 6 of 10)	intron (NM_001744, intron 6 of 10)	-64088	NR_040093	100505678		NR_040093	ENSG00000246859	STARD4-AS1	-	STARD4 antisense RNA 1	ncRNA
MAP3K7	chr6	90494038	90494605	+	0	NA	Intergenic	L2c|LINE|L2	92751	NM_003188	6885		NM_003188	ENSG00000135341	MAP3K7	CSCF|FMD2|MEKK7|TAK1|TGF1a	mitogen-activated protein kinase kinase kinase 7	protein-coding
LINC02228	chr5	25029107	25029294	+	0	NA	Intergenic	Intergenic	161456	NR_147006	105374694		NR_147006		LINC02228	HIKER	long intergenic non-protein coding RNA 2228	ncRNA
BBOX1-AS1	chr11	27209645	27209895	+	0	NA	intron (NR_125767, intron 2 of 4)	intron (NR_125767, intron 2 of 4)	8998	NR_125768	103695435		NR_125766	ENSG00000254560	BBOX1-AS1	-	BBOX1 antisense RNA 1	ncRNA
CLTC	chr17	59634694	59635045	+	0	NA	intron (NM_004859, intron 1 of 31)	intron (NM_004859, intron 1 of 31)	14974	NM_004859	1213		NM_004859	ENSG00000141367	CLTC	CHC|CHC17|CLH-17|CLTCL2|Hc|MRD56	clathrin heavy chain	protein-coding
TMEM74-2	chr8	108659767	108660708	+	0	NA	intron (NR_136411, intron 1 of 3)	intron (NR_136411, intron 1 of 3)	127357	NM_153015	157753		NM_153015	ENSG00000164841	TMEM74	NET36	transmembrane protein 74	protein-coding
SCARNA18	chr5	83026227	83027327	+	0	NA	Intergenic	Intergenic	37560	NR_003139	677765		NR_003139	ENSG00000238835	SCARNA18	SCARNA18A|U109	small Cajal body-specific RNA 18	ncRNA
GPR149	chr3	154496591	154497505	+	0	NA	Intergenic	Intergenic	-66858	NM_001038705	344758		NM_001038705	ENSG00000174948	GPR149	IEDA|PGR10|R35	G protein-coupled receptor 149	protein-coding
LINC01810	chr2	5803613	5803917	+	0	NA	Intergenic	Intergenic	8831	NR_146954	105373400		NR_146954	ENSG00000237266	LINC01810	-	long intergenic non-protein coding RNA 1810	ncRNA
